,date,firm,to_grade,from_grade,action,ticker,extraction_timestamp
0,2024-10-18 11:15:27,B of A Securities,Buy,Buy,main,NVDA,2024-10-24 13:07:28
1,2024-10-11 13:55:04,Goldman Sachs,Buy,Buy,main,NVDA,2024-10-24 13:07:28
2,2024-10-10 12:29:45,Morgan Stanley,Overweight,Overweight,reit,NVDA,2024-10-24 13:07:28
3,2024-10-08 19:45:05,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-10-24 13:07:28
4,2024-10-08 14:41:59,UBS,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
5,2024-09-18 17:10:44,William Blair,Outperform,,init,NVDA,2024-10-24 13:07:28
6,2024-09-05 17:23:05,B of A Securities,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
7,2024-08-29 17:33:59,Bernstein,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
8,2024-08-29 16:45:57,Piper Sandler,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
9,2024-08-29 16:40:45,Wedbush,Outperform,Outperform,reit,NVDA,2024-10-24 13:07:28
10,2024-08-29 15:07:09,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-10-24 13:07:28
11,2024-08-29 14:39:12,DA Davidson,Neutral,Neutral,main,NVDA,2024-10-24 13:07:28
12,2024-08-29 14:34:27,Benchmark,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
13,2024-08-29 13:37:12,Truist Securities,Buy,Buy,main,NVDA,2024-10-24 13:07:28
14,2024-08-29 13:34:56,JP Morgan,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
15,2024-08-29 12:54:06,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
16,2024-08-29 12:52:38,WestPark Capital,Buy,Buy,main,NVDA,2024-10-24 13:07:28
17,2024-08-29 12:42:02,Craig-Hallum,Buy,Buy,main,NVDA,2024-10-24 13:07:28
18,2024-08-29 12:25:45,Wells Fargo,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
19,2024-08-29 12:11:40,B of A Securities,Buy,Buy,main,NVDA,2024-10-24 13:07:28
20,2024-08-29 12:02:22,Rosenblatt,Buy,Buy,main,NVDA,2024-10-24 13:07:28
21,2024-08-29 11:54:56,Baird,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
22,2024-08-29 10:48:00,Needham,Buy,Buy,main,NVDA,2024-10-24 13:07:28
23,2024-08-29 09:49:39,Raymond James,Strong Buy,Strong Buy,main,NVDA,2024-10-24 13:07:28
24,2024-08-29 09:41:07,Mizuho,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
25,2024-08-27 12:41:15,Truist Securities,Buy,Buy,main,NVDA,2024-10-24 13:07:28
26,2024-08-26 13:03:04,Loop Capital,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
27,2024-08-23 16:33:54,Wedbush,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
28,2024-08-23 13:05:35,Evercore ISI Group,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
29,2024-08-22 13:19:03,Rosenblatt,Buy,Buy,main,NVDA,2024-10-24 13:07:28
30,2024-08-21 15:11:54,HSBC,Buy,Buy,main,NVDA,2024-10-24 13:07:28
31,2024-08-19 15:16:36,Goldman Sachs,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
32,2024-08-06 14:41:31,New Street Research,Buy,Neutral,up,NVDA,2024-10-24 13:07:28
33,2024-08-05 17:54:29,Goldman Sachs,Buy,Buy,main,NVDA,2024-10-24 13:07:28
34,2024-08-05 17:53:09,Deutsche Bank,Hold,Hold,main,NVDA,2024-10-24 13:07:28
35,2024-07-22 15:57:23,Loop Capital,Buy,Buy,main,NVDA,2024-10-24 13:07:28
36,2024-07-22 11:45:40,Piper Sandler,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
37,2024-07-15 16:01:02,TD Cowen,Buy,Buy,main,NVDA,2024-10-24 13:07:28
38,2024-07-12 11:10:54,Benchmark,Buy,Buy,main,NVDA,2024-10-24 13:07:28
39,2024-07-09 11:31:58,Keybanc,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
40,2024-07-08 13:35:43,UBS,Buy,Buy,main,NVDA,2024-10-24 13:07:28
41,2024-07-05 12:50:24,New Street Research,Neutral,Buy,down,NVDA,2024-10-24 13:07:28
42,2024-07-01 11:06:48,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
43,2024-06-27 13:16:12,Truist Securities,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
44,2024-06-26 13:43:05,Cantor Fitzgerald,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
45,2024-06-26 11:47:42,Citigroup,Buy,Buy,main,NVDA,2024-10-24 13:07:28
46,2024-06-24 18:09:47,Jefferies,Buy,Buy,main,NVDA,2024-10-24 13:07:28
47,2024-06-21 14:18:21,Melius Research,Buy,Buy,main,NVDA,2024-10-24 13:07:28
48,2024-06-18 21:20:37,Tigress Financial,Buy,Buy,main,NVDA,2024-10-24 13:07:28
49,2024-06-18 15:03:38,Wells Fargo,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
50,2024-06-18 12:22:16,Rosenblatt,Buy,Buy,main,NVDA,2024-10-24 13:07:28
51,2024-06-11 17:05:57,Argus Research,Buy,Buy,main,NVDA,2024-10-24 13:07:28
52,2024-06-11 16:47:21,Evercore ISI Group,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
53,2024-06-11 14:45:00,Goldman Sachs,Buy,Buy,main,NVDA,2024-10-24 13:07:28
54,2024-06-10 17:30:44,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
55,2024-06-10 15:28:30,TD Cowen,Buy,Buy,main,NVDA,2024-10-24 13:07:28
56,2024-06-10 13:53:57,Barclays,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
57,2024-06-10 11:30:29,Susquehanna,Positive,Positive,main,NVDA,2024-10-24 13:07:28
58,2024-06-04 12:02:07,Mizuho,Buy,Buy,main,NVDA,2024-10-24 13:07:28
59,2024-05-23 17:17:04,Citigroup,Buy,Buy,main,NVDA,2024-10-24 13:07:28
60,2024-05-23 17:02:18,Deutsche Bank,Hold,Hold,main,NVDA,2024-10-24 13:07:28
61,2024-05-23 16:56:36,Craig-Hallum,Buy,Buy,main,NVDA,2024-10-24 13:07:28
62,2024-05-23 16:40:24,Wedbush,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
63,2024-05-23 15:45:18,TD Cowen,Buy,Buy,main,NVDA,2024-10-24 13:07:28
64,2024-05-23 15:39:45,Cantor Fitzgerald,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
65,2024-05-23 15:33:15,Argus Research,Buy,Buy,main,NVDA,2024-10-24 13:07:28
66,2024-05-23 15:27:56,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
67,2024-05-23 15:19:17,Jefferies,Buy,Buy,main,NVDA,2024-10-24 13:07:28
68,2024-05-23 14:29:11,Raymond James,Strong Buy,Strong Buy,reit,NVDA,2024-10-24 13:07:28
69,2024-05-23 14:28:59,Wells Fargo,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
70,2024-05-23 13:59:22,UBS,Buy,Buy,main,NVDA,2024-10-24 13:07:28
71,2024-05-23 13:40:28,Benchmark,Buy,Buy,main,NVDA,2024-10-24 13:07:28
72,2024-05-23 13:19:23,Oppenheimer,Outperform,Outperform,reit,NVDA,2024-10-24 13:07:28
73,2024-05-23 13:12:18,Truist Securities,Buy,Buy,main,NVDA,2024-10-24 13:07:28
74,2024-05-23 12:51:40,Barclays,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
75,2024-05-23 12:29:37,JP Morgan,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
76,2024-05-23 12:28:19,Susquehanna,Positive,Positive,main,NVDA,2024-10-24 13:07:28
77,2024-05-23 12:14:34,Bernstein,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
78,2024-05-23 11:42:46,Rosenblatt,Buy,Buy,main,NVDA,2024-10-24 13:07:28
79,2024-05-23 11:23:33,Keybanc,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
80,2024-05-23 11:22:39,Stifel,Buy,Buy,main,NVDA,2024-10-24 13:07:28
81,2024-05-23 11:21:43,Piper Sandler,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
82,2024-05-23 11:11:39,Mizuho,Buy,Buy,main,NVDA,2024-10-24 13:07:28
83,2024-05-23 11:06:43,Evercore ISI Group,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
84,2024-05-23 11:01:04,B of A Securities,Buy,Buy,main,NVDA,2024-10-24 13:07:28
85,2024-05-23 10:27:46,Needham,Buy,Buy,main,NVDA,2024-10-24 13:07:28
86,2024-05-23 10:07:48,Goldman Sachs,Buy,Buy,main,NVDA,2024-10-24 13:07:28
87,2024-05-23 09:57:43,Wolfe Research,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
88,2024-05-20 13:41:35,Barclays,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
89,2024-05-20 12:18:29,Susquehanna,Positive,Positive,main,NVDA,2024-10-24 13:07:28
90,2024-05-20 12:07:30,Rosenblatt,Buy,Buy,main,NVDA,2024-10-24 13:07:28
91,2024-05-20 11:38:38,Stifel,Buy,Buy,main,NVDA,2024-10-24 13:07:28
92,2024-05-20 09:50:00,Baird,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
93,2024-05-17 12:15:57,Oppenheimer,Outperform,Outperform,reit,NVDA,2024-10-24 13:07:28
94,2024-05-16 12:46:47,Wedbush,Outperform,Outperform,reit,NVDA,2024-10-24 13:07:28
95,2024-05-14 13:37:48,Wells Fargo,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
96,2024-05-10 15:09:21,HSBC,Buy,Buy,main,NVDA,2024-10-24 13:07:28
97,2024-05-07 12:00:45,Goldman Sachs,Buy,Buy,main,NVDA,2024-10-24 13:07:28
98,2024-04-30 15:23:13,UBS,Buy,Buy,main,NVDA,2024-10-24 13:07:28
99,2024-04-16 09:19:10,Evercore ISI Group,Outperform,,init,NVDA,2024-10-24 13:07:28
100,2024-04-11 17:08:47,Raymond James,Strong Buy,Strong Buy,main,NVDA,2024-10-24 13:07:28
101,2024-04-08 12:58:32,Keybanc,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
102,2024-04-04 13:34:34,Susquehanna,Positive,Positive,main,NVDA,2024-10-24 13:07:28
103,2024-03-22 17:43:24,UBS,Buy,Buy,main,NVDA,2024-10-24 13:07:28
104,2024-03-21 15:37:58,TD Cowen,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
105,2024-03-20 16:09:02,Argus Research,Buy,Buy,main,NVDA,2024-10-24 13:07:28
106,2024-03-20 16:01:00,Stifel,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
107,2024-03-20 15:13:16,Deutsche Bank,Hold,Hold,main,NVDA,2024-10-24 13:07:28
108,2024-03-20 13:10:24,Goldman Sachs,Buy,Buy,main,NVDA,2024-10-24 13:07:28
109,2024-03-20 12:39:40,Benchmark,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
110,2024-03-20 12:04:33,Citigroup,Buy,Buy,main,NVDA,2024-10-24 13:07:28
111,2024-03-20 11:59:17,Piper Sandler,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
112,2024-03-20 10:09:27,Oppenheimer,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
113,2024-03-19 14:08:34,Keybanc,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
114,2024-03-19 12:55:22,Wedbush,Outperform,Outperform,reit,NVDA,2024-10-24 13:07:28
115,2024-03-19 12:33:12,Susquehanna,Positive,Positive,main,NVDA,2024-10-24 13:07:28
116,2024-03-19 10:30:29,Wells Fargo,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
117,2024-03-18 12:01:14,Truist Securities,Buy,Buy,main,NVDA,2024-10-24 13:07:28
118,2024-03-18 10:13:39,HSBC,Buy,Buy,main,NVDA,2024-10-24 13:07:28
119,2024-03-13 11:02:13,B of A Securities,Buy,Buy,main,NVDA,2024-10-24 13:07:28
120,2024-03-11 13:23:42,Cantor Fitzgerald,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
121,2024-03-07 14:20:28,Mizuho,Buy,Buy,main,NVDA,2024-10-24 13:07:28
122,2024-03-06 12:19:20,CICC,Outperform,,init,NVDA,2024-10-24 13:07:28
123,2024-03-04 19:03:17,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-10-24 13:07:28
124,2024-02-29 12:21:47,Tigress Financial,Buy,Buy,main,NVDA,2024-10-24 13:07:28
125,2024-02-22 19:31:50,Keybanc,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
126,2024-02-22 19:12:45,Argus Research,Buy,Buy,main,NVDA,2024-10-24 13:07:28
127,2024-02-22 18:47:01,Craig-Hallum,Buy,Buy,main,NVDA,2024-10-24 13:07:28
128,2024-02-22 18:43:55,DA Davidson,Neutral,Neutral,main,NVDA,2024-10-24 13:07:28
129,2024-02-22 18:40:13,Needham,Buy,Buy,main,NVDA,2024-10-24 13:07:28
130,2024-02-22 18:31:45,Cantor Fitzgerald,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
131,2024-02-22 18:22:50,Bernstein,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
132,2024-02-22 18:18:25,Wolfe Research,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
133,2024-02-22 18:09:40,HSBC,Buy,Buy,main,NVDA,2024-10-24 13:07:28
134,2024-02-22 18:04:03,Deutsche Bank,Hold,Hold,main,NVDA,2024-10-24 13:07:28
135,2024-02-22 17:41:00,Oppenheimer,Outperform,Outperform,reit,NVDA,2024-10-24 13:07:28
136,2024-02-22 16:50:04,UBS,Buy,Buy,main,NVDA,2024-10-24 13:07:28
137,2024-02-22 16:48:48,Truist Securities,Buy,Buy,main,NVDA,2024-10-24 13:07:28
138,2024-02-22 16:29:12,B of A Securities,Buy,Buy,main,NVDA,2024-10-24 13:07:28
139,2024-02-22 16:20:20,Benchmark,Buy,Buy,main,NVDA,2024-10-24 13:07:28
140,2024-02-22 16:10:55,Mizuho,Buy,Buy,main,NVDA,2024-10-24 13:07:28
141,2024-02-22 15:56:31,Stifel,Buy,Buy,main,NVDA,2024-10-24 13:07:28
142,2024-02-22 15:55:33,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
143,2024-02-22 15:33:20,JP Morgan,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
144,2024-02-22 13:48:33,Jefferies,Buy,Buy,main,NVDA,2024-10-24 13:07:28
145,2024-02-22 13:28:48,Wedbush,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
146,2024-02-20 18:03:03,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-10-24 13:07:28
147,2024-02-20 13:05:33,Rosenblatt,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
148,2024-02-20 11:41:58,Baird,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
149,2024-02-16 18:54:47,Wells Fargo,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
150,2024-02-16 14:36:22,Oppenheimer,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
151,2024-02-16 14:12:50,Wedbush,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
152,2024-02-16 11:47:00,Loop Capital,Buy,,init,NVDA,2024-10-24 13:07:28
153,2024-02-14 13:42:39,Susquehanna,Positive,Positive,main,NVDA,2024-10-24 13:07:28
154,2024-02-13 17:00:45,Mizuho,Buy,Buy,main,NVDA,2024-10-24 13:07:28
155,2024-02-12 17:37:30,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-10-24 13:07:28
156,2024-02-07 20:26:19,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
157,2024-02-05 10:29:05,Goldman Sachs,Buy,Buy,main,NVDA,2024-10-24 13:07:28
158,2024-01-29 18:59:29,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-10-24 13:07:28
159,2024-01-23 10:30:53,Cantor Fitzgerald,Overweight,,init,NVDA,2024-10-24 13:07:28
160,2024-01-19 15:46:56,Raymond James,Strong Buy,Strong Buy,main,NVDA,2024-10-24 13:07:28
161,2024-01-18 09:51:46,Tigress Financial,Buy,Buy,main,NVDA,2024-10-24 13:07:28
162,2024-01-16 09:33:30,Keybanc,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
163,2024-01-03 10:08:43,DA Davidson,Neutral,,init,NVDA,2024-10-24 13:07:28
164,2023-11-22 18:48:30,Oppenheimer,Outperform,Outperform,reit,NVDA,2024-10-24 13:07:28
165,2023-11-22 18:12:49,Stifel,Buy,Buy,main,NVDA,2024-10-24 13:07:28
166,2023-11-22 17:19:53,Susquehanna,Positive,Positive,reit,NVDA,2024-10-24 13:07:28
167,2023-11-22 17:07:09,UBS,Buy,Buy,main,NVDA,2024-10-24 13:07:28
168,2023-11-22 16:59:10,Edward Jones,Hold,Buy,down,NVDA,2024-10-24 13:07:28
169,2023-11-22 16:44:20,Mizuho,Buy,Buy,main,NVDA,2024-10-24 13:07:28
170,2023-11-22 16:36:55,Benchmark,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
171,2023-11-22 16:08:44,BMO Capital,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
172,2023-11-22 15:06:09,Wedbush,Outperform,Outperform,reit,NVDA,2024-10-24 13:07:28
173,2023-11-22 14:46:56,Wells Fargo,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
174,2023-11-22 13:40:46,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
175,2023-11-22 12:16:18,Needham,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
176,2023-11-17 19:33:58,Stifel,Buy,Buy,reit,NVDA,2024-10-24 13:07:28
177,2023-11-17 17:21:26,Piper Sandler,Overweight,Overweight,reit,NVDA,2024-10-24 13:07:28
178,2023-11-17 14:18:12,Wedbush,Outperform,Outperform,reit,NVDA,2024-10-24 13:07:28
179,2023-11-09 18:31:01,Bernstein,Outperform,Outperform,reit,NVDA,2024-10-24 13:07:28
180,2023-10-20 08:26:16,Keybanc,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
181,2023-10-18 15:14:34,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
182,2023-10-18 11:54:23,Citigroup,Buy,Buy,main,NVDA,2024-10-24 13:07:28
183,2023-10-03 09:41:03,Keybanc,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
184,2023-10-02 14:03:14,Goldman Sachs,Buy,Buy,main,NVDA,2024-10-24 13:07:28
185,2023-08-24 18:43:42,Truist Securities,Buy,Buy,main,NVDA,2024-10-24 13:07:28
186,2023-08-24 16:52:14,Craig-Hallum,Buy,Buy,main,NVDA,2024-10-24 13:07:28
187,2023-08-24 16:30:21,Argus Research,Buy,Buy,main,NVDA,2024-10-24 13:07:28
188,2023-08-24 16:10:09,Jefferies,Buy,Buy,main,NVDA,2024-10-24 13:07:28
189,2023-08-24 15:23:00,TD Cowen,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
190,2023-08-24 15:20:57,Susquehanna,Positive,Positive,main,NVDA,2024-10-24 13:07:28
191,2023-08-24 15:08:24,Wells Fargo,Overweight,Overweight,main,NVDA,2024-10-24 13:07:28
192,2023-08-24 14:33:41,Baird,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
193,2023-08-24 13:58:56,UBS,Buy,Buy,main,NVDA,2024-10-24 13:07:28
194,2023-08-24 13:25:40,Wedbush,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
195,2023-08-24 12:45:41,Benchmark,Buy,Buy,main,NVDA,2024-10-24 13:07:28
196,2023-08-24 12:21:22,BMO Capital,Outperform,Outperform,main,NVDA,2024-10-24 13:07:28
